Date,Open,High,Low,Close,Volume
3/5/2019 15:30:00,528.85,529.9,522.6,526.28,1058779
3/6/2019 15:30:00,530.3,531,519.3,521.63,1403626
3/7/2019 15:30:00,523.8,525.25,516,517.28,1036807
3/8/2019 15:30:00,514.7,514.98,503,504.53,1588047
3/11/2019 15:30:00,503.5,510.88,500.5,502.2,2273794
3/12/2019 15:30:00,503.55,509.75,500.03,506.68,2451094
3/13/2019 15:30:00,509.35,521.5,507.05,514.17,3401670
3/14/2019 15:30:00,517.5,520.28,502.05,503.38,1896916
3/15/2019 15:30:00,506,516.92,504.4,514.65,2603844
3/18/2019 15:30:00,516.05,519.98,504.18,506,1175027
3/19/2019 15:30:00,510.05,521,506.55,518.1,1621276
3/20/2019 15:30:00,521,527.25,515.75,518.98,2204401
3/22/2019 15:30:00,519,524,509,512.42,2618545
3/25/2019 15:30:00,514.5,514.5,505.93,508.83,1527955
3/26/2019 15:30:00,506.68,521.9,505.75,517.3,1655723
3/27/2019 15:30:00,510,528.17,510,521.58,1455845
3/28/2019 15:30:00,525.7,544.17,525,541.45,4313807
3/29/2019 15:30:00,545,549.23,533.83,543.73,2827220
4/1/2019 15:30:00,545,560,541.03,555.38,2308865
4/2/2019 15:30:00,555,560,546.25,551.3,1393922
4/3/2019 15:30:00,551.3,566.65,545.78,560.3,2648314
4/4/2019 15:30:00,559,559.03,540.75,549.03,4222104
4/5/2019 15:30:00,545.17,552.33,542.75,546.4,1704522
4/8/2019 15:30:00,547.5,550.5,540.48,548.17,2013924
4/9/2019 15:30:00,548.17,564.42,548.1,559.08,3250491
4/10/2019 15:30:00,560,562.65,548.1,549.35,2413433
4/11/2019 15:30:00,546.15,550.55,542.5,544.42,1517790
4/12/2019 15:30:00,544.4,550.42,538.3,541.73,1419742
4/15/2019 15:30:00,544.5,554,542.5,551.63,1934151
4/16/2019 15:30:00,554.75,558.13,551.17,553.53,1200591
4/18/2019 15:30:00,554,561.95,545.25,551.33,2027619
4/22/2019 15:30:00,551.75,557.15,547.5,550.55,1115258
4/23/2019 15:30:00,551.3,555.98,548.3,551,1067764
4/24/2019 15:30:00,551.5,571.05,548.42,569.48,2840823
4/25/2019 15:30:00,570.5,575.7,564.53,566.85,2680549
4/26/2019 15:30:00,570,584.92,567.5,569.88,1732967
4/30/2019 15:30:00,570.03,593.8,570,591.67,4155200
5/2/2019 15:30:00,585,590.25,578.25,580.03,2113097
5/3/2019 15:30:00,572,574.58,563.13,571.53,2855158
5/6/2019 15:30:00,569.95,572.2,564.03,568.03,1413565
5/7/2019 19:00:00,568.67,575,558,565.88,2344602
5/8/2019 15:30:00,566,570,561.2,566.3,1493911
5/9/2019 15:30:00,562.25,572.5,555.05,568.3,2481345
5/10/2019 15:30:00,555.5,555.5,536.4,543.33,7767725
5/13/2019 15:30:00,544.15,550.38,539,541.83,1684031
5/14/2019 15:30:00,541.83,541.83,528.5,533.92,2194007
5/15/2019 15:30:00,536.48,543.25,531.42,533.73,1620299
5/16/2019 15:30:00,539.95,540.23,528.03,536.13,1113451
5/17/2019 15:30:00,537.53,538.5,529.88,531.35,1390023
5/20/2019 15:30:00,532.5,541.9,525.63,536.78,1190237
5/21/2019 15:30:00,535.7,537,526.33,528.05,806713
5/22/2019 15:30:00,528.5,537.5,526.85,530.5,1712432
5/23/2019 15:30:00,532,535.5,525.13,533.2,1942100
5/24/2019 15:30:00,535.5,537,527.05,532.98,2170234
5/27/2019 15:30:00,536,540.5,529.1,532.1,1582207
5/28/2019 15:30:00,535.5,544.98,527.63,535.65,5315844
5/29/2019 15:30:00,535.7,547.5,534.1,542.5,2177406
5/30/2019 15:30:00,544,549.17,534,539.1,2372724
5/31/2019 15:30:00,542.5,549.7,540.03,546.28,2127547
6/3/2019 15:30:00,549.42,559.5,543.58,557.6,1700197
6/4/2019 15:30:00,556.2,556.7,540.5,542.92,2064485
6/6/2019 15:30:00,545,550.58,537.78,539.6,2350903
6/7/2019 15:30:00,541.5,543.6,535.63,539.8,1636403
6/10/2019 15:30:00,543.45,550.9,540.7,545.6,1028004
6/11/2019 15:30:00,550,558.48,546.95,553.95,3242539
6/12/2019 15:30:00,553.5,555,545.65,554.05,1568101
6/13/2019 15:30:00,551.5,553.05,546.5,550.45,1975925
6/14/2019 15:30:00,546.55,551.17,542,543.5,1733936
6/17/2019 15:30:00,542,543.85,535.75,537.45,1243674
6/18/2019 15:30:00,537.45,547.08,537.33,544.8,706081
6/19/2019 15:30:00,545.05,548.3,538.9,542.05,1218939
6/20/2019 15:30:00,535,545.5,532.83,543.67,947544
6/21/2019 15:30:00,546.25,546.33,535.58,538.13,2347555
6/24/2019 15:30:00,539.5,542.03,534.05,538.95,675052
6/25/2019 15:30:00,538.95,540.55,530.08,539.5,1101967
6/26/2019 15:30:00,536.1,546.33,536.1,539.38,1638867
6/27/2019 15:30:00,537.15,542.03,529.98,531.38,1388025
6/28/2019 15:30:00,535.35,537.98,529.35,532.33,1414937
7/1/2019 15:30:00,533.63,534.95,523.67,524.55,1233848
7/2/2019 15:30:00,526.5,532.33,521.5,530,1007025
7/3/2019 15:30:00,530.5,532.38,523.8,525.6,606670
7/4/2019 15:30:00,524.35,525.6,516.9,520.38,1276519
7/5/2019 15:30:00,521.95,524.5,506.33,508.2,1257176
7/8/2019 15:30:00,505.5,522.9,505.03,519.53,2004112
7/9/2019 15:30:00,516.73,523.9,504,510.38,1602967
7/10/2019 15:30:00,507,517.5,506.55,509.45,865800
7/11/2019 15:30:00,513.9,513.9,507.53,510.4,775353
7/12/2019 15:30:00,508.03,514.85,504.5,511.95,1451643
7/15/2019 15:30:00,517.23,519,510,513.75,1316603
7/16/2019 15:30:00,515.95,516.08,506.73,509.83,1725251
7/17/2019 15:30:00,512.2,521.5,510.45,520.38,1145555
7/18/2019 15:30:00,516.7,518.5,508,509.28,1304150
7/19/2019 15:30:00,512,515.4,504.6,507.8,1069812
7/22/2019 15:30:00,507.8,513.63,501.63,509.48,951078
7/23/2019 15:30:00,510.33,512.98,503.58,505.48,1005829
7/24/2019 15:30:00,504.98,512.42,500.75,510.65,1192280
7/25/2019 15:30:00,510.55,513.83,501.5,505.65,3021020
